id,datetime,neighborhood,rent,br,ba,sqft,housingType,laundry,parking,cats,dogs,furnished,title,description,link
1,2021-05-30 14:02:00,Dadeland,1900,2,2.0,,apartment,w/d in unit,carport,no,no,no,2/2 DADELAND: AMAZING UNIT Unique opportunity to lease this sp,"80DADELAND: 2/2Unique opportunity to lease this spacious bright 2 bedroom 2 bath condo in Kings Creek With over 1100 square feet. This move-in ready condo features all new flooring, washer and dryer inside and 2 assigned parking spaces. Quiet Safe community with a community pool, clubhouse and tennis courts. Ideally situated minutes from Dadeland, US1, major expressways, restaurants and shopping. Plenty of guest parking available and easy to show by appointment.Rent 1 Sale 1 KendallBad credit, no credit, come in we'll help you.***** Se habla español *****Interested in a property:Call/Text-  show contact info786'+'7O8'+'2475Call-  show contact info3O5'+'982'+'8O15**R1S1 -Kendall posts properties for a 30 day period of time. Due to current high rental demand, some properties advertised may be withdrawn, canceled, rented, pending or sold within the past 30 days. All information is deemed to be correct, but not guaranteed**T a g s:- Kendall- Fontainebleau- West Fontainebleau- Dadeland    ",https://miami.craigslist.org/mdc/apa/d/2-dadeland-amazing-unit-unique/7329311389.html
2,2021-05-30 14:02:00,Doral,2557,2,2.0,,apartment,w/d in unit,attached garage,no,no,no,DEPÓSITO DE $ 500,"*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-depsito-de-500/7320180053.html
3,2021-05-30 14:02:00,Miami,2241,2,2.0,1106.0,apartment,w/d in unit,off-street parking,yes,yes,no,2 Bed 2 Bathroom Apartment,"One, Two, and Three Bedroom Miami Apartments At Casa Vera, you can make your Miami dreams a reality. Our one, two, and three bedroom luxury apartments in Kendall, Florida, offers easy access to both downtown Miami and Everglades National Park, as well as numerous excellent dining, shopping, and recreation options. With unmatched outdoor amenities paired with incredible apartment interiors, our community simply cannot be beat.Discover the very best of Miami living at Casa Vera  Call Now:  show contact infoFollow The Link Below:http://cl.greystar.com/535ue0 This is a 2 Bedroom, 2 Bath, approximately 1106 Sq. Ft. Features - One, Two, and Three Bedroom Layouts  - Walk-In Closets  - Stainless-Steel Appliances  - Dishwasher  - In-Home Washer and Dryer  - Private Balcony  - Air Conditioning Community Amenities - WiFi Available  - Outdoor Entertainment Area with Chaise Lounge Chairs  - Resort-Style Swimming Pool  - Outdoor Cabana Kitchen  - On-Site Dog Park  - Coffee Bar  - Business Center  - State-of-the-Art Fitness Center  - Sundecks  - Resident Clubhouse Office Hours Mon-Fri: 9:00am-6:00pmSat: 10:00am-5:00pmSun: 12:00pm-5:00pm Casa Vera 8881 SW 172nd Ave, Miami, FL, 33196Equal Housing Opportunity H2wd9AHIUz ",https://miami.craigslist.org/mdc/apa/d/miami-bed-bathroom-apartment/7329303614.html
4,2021-05-30 14:02:00,Doral,3399,3,2.0,,apartment,w/d in unit,attached garage,no,no,no,"$500 deposit one,two,and three bedroom 24 hour approval","*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-500-deposit-onetwoand-three/7320180994.html
5,2021-05-30 14:01:00,Doral,1978,1,1.0,,apartment,w/d in unit,attached garage,no,no,no,un mes GRATIS,"*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-un-mes-gratis/7320215154.html
6,2021-05-30 14:01:00,Doral,2257,2,2.0,,apartment,w/d in unit,street parking,no,no,no,Depósito de $ 500,"*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11",https://miami.craigslist.org/mdc/apa/d/miami-depsito-de-500/7319571762.html
7,2021-05-30 14:01:00,Doral,1978,1,1.0,,apartment,w/d in unit,attached garage,no,no,no,"mudanza rápida en 1, 2 y 3 habitaciones","*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-mudanza-rpida-en-2-3-habitaciones/7319540780.html
8,2021-05-30 14:01:00,Doral,2557,2,2.0,,apartment,w/d in unit,attached garage,no,no,no,Apartamentos nuevos extranjeros bienvenidos,"*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-apartamentos-nuevos-extranjeros/7319537015.html
9,2021-05-30 14:01:00,Doral,2257,2,2.0,,apartment,w/d in unit,attached garage,no,no,no,UN MES GRATIS,"*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ****** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.****** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORALMinutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.ONE MONTH FREE$500 SECURITY DEPOSIT WITH APPROVED CREDITQUICK APPROVALVERY FAST MOVE IN**ONE BEDROOM STARTING AT $1978**TWO BEDROOM STARTING AT $2557**THREE BEDROOM STARTING AT $3399BRAND NEW MODERN LUXURY BUILDINGWORLD CLASS AMENITIESPET FRIENDLYLAUNDRY IN UNITNO BROKER FEENO REALTORS COMMISSIONMY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ****** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ****** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORALA minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.UN MES GRATISDEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADOAPROBACIÓN RÁPIDAMUY RÁPIDO MUDANZA** UNA HABITACIÓN DESDE $ 1978** DOS HABITACIONES DESDE $ 2557** TRES HABITACIONES DESDE $ 3399EDIFICIO DE LUJO MODERNO A ESTRENARAMENIDADES DE CLASE MUNDIALMASCOTA AMIGABLELAVANDERÍA EN UNIDADSIN CARGO DE CORREDORSIN COMISIÓN DE REALTORSMI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOSLLAMADA / TEXTO:show contact infoVANESSA LUNACIOCCA REALTYREF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-un-mes-gratis/7320216745.html
10,2021-05-30 14:01:00,Miami Beach,1350,1,1.0,600.0,apartment,laundry on site,valet parking,no,no,no,Newly Renovated 1 Bedroom / 1 Bath,"Newly renovated large bedroom freshly painted with a brand new AC system, recess lighting & vinyl flooring. Top notch kitchen area offers a beautiful stainless steel package to include fridge, stove & microwave. The new Panda kitchen cabinets come alongside matching granite countertops & a gorgeous backsplash. This very unique quiet hidden oasis comes with  lights, water, washer & dryer on premises, private entrance, private parking, wifi cable & internet all INCLUDED in the rent! This is the perfect place for a single individual seeking complete peace & privacy. Come make it your own! This unit will not last call/text to schedule viewing: Sherley  show contact infoRental Requirements are as follows:$100 Application FeeColor copy of Drivers LicenseLast 3 months of Verifiable Income",https://miami.craigslist.org/mdc/apa/d/miami-newly-renovated-bedroom-bath/7329315631.html
