id,datetime,neighborhood,rent,br,ba,sqft,housingType,laundry,parking,cats,dogs,furnished,title,description,link
1,2021-06-04 18:55:00,Sunset / Parkside,4200,4,2.0,1600.0,apartment,laundry on site,street parking,no,no,no,Large 4 bedrooms/2 full-baths FLAT with views,"Large 4 bedrooms/2 full-baths top FLAT Ave with views Please send email introducing yourself to make appointment for showing.4 spacious bedrooms and 2 full-baths Large kitchen Great location near restaurants, grocery, bank, Safeway, SFSU, UCSF, USF, Academy of Art University, and Stonestown mall One block away from L-line to downtown and half block away from 28 bus to SFSU, 2 blocks away from line 66 bus to UCSF, one block away from 48 lineGood credit required, please bring your credit reportNo Pets/Non smoker Requires a one year lease and a deposit to move-inThe rent is $4200 per month with a deposit ($5000) Tenants pay their own utilities (water, gas, electricity, garbage)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-bedrooms-full-baths/7331983271.html
2,2021-06-04 18:53:00,Lower Pac Hts,2850,0,1.0,,apartment,laundry in bldg,attached garage,no,no,no,Remodeled studio w/ Bay View in prime Pacific Heights HARDWOOD FLOORS!,"This completely REMODELED and HUGE studio is located at the Broadway Crown Towers Apartments in prime Pacific Heights (on Broadway Street). This unit features gorgeous hardwood floors throughout, a fully REMODELED kitchen including all full-size appliances: maple wood cabinetry, refrigerator, stove, oven, microwave, garbage disposal and DISHWASHER! In addition, this apartment home has a dinette room attached to the kitchen (tons of cabinetry in the kitchen) and a large bathroom. Huge bay windows in the main living room give lots of light to the entire apartment. INCREDIBLE Bay Views can be seen from the living room (literally you walk into the living room and are struck by the gorgeous water views!). In addition, this unit has a huge walk-in closet (with window) which residents often use as their bedroom due to its large size. This unit is on the north side of the building making it very private and picturesque!To view this unit please contact the on-site manager Egan at  show contact infoFor more building information please visit our website at copelandparkproperties.comNo pets please.Located in Prime Pacific Heights, 1770 Broadway is a one of a kind, stately 1920's building. Boasting a large marble entrance, 1770 Broadway is located between Gough and Franklin Street. 1770 Broadway is within walking distance of many of San Francisco's finest restaurants, coffee shops, and public transportation accessing the entire Bay Area (available on Van Ness...one block to the east.Amenities Include:-On Site Manager-Elevator service-Central Laundry Facility-Card Key Access-Exterior and interior finishes which define 'old world charm'*Included In Rent: Water, Heat and Garbage*Please note: This unit is dedicated as smoke-free*Photos of similar unit and actual building photos1770 Broadway received a 97% on walking score!    ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-studio-bay-view/7330721026.html
3,2021-06-04 18:53:00,SOMA / South Beach,3431,1,1.0,598.0,apartment,w/d in unit,detached garage,yes,yes,no,Great Views and 10 Weeks Free!,"Welcome to The Rise! The Rise Hayes Valley is at the epicenter of the Mission, Upper Market and Hayes Valley neighborhoods in San Francisco. Sitting at the corner of Market St. and Valencia St., The Rise is uniquely positioned so you can chill at the Zeitgeist, stroll along Patricia's Green, and do your organic grocery shopping at Rainbow Grocery and Whole Foods. With immediate access to Muni, BART, and bike-friendly lanes, all the best that San Francisco has to offer is at your fingertips.  Call Now:  show contact info to contact our leasing team.Follow This Link for More Information:https://www.therisehayesvalley.com/floorplans/kearny Don't miss out on this amazing apartment. This 598sqft 1 bedroom apartment sits on the 8th floor with amazing amount of natural light and views of Hayes Valley. Lease this apartment today for $3,431 with 10 weeks free or self-amortize the free rent to pay $2,716 per month; specials and rates subject to availability and ends June 6th! Features - Large windows for abundant natural light  - Stainless Steel Appliance Suite  - In-Home Washers & Dryers  - High tech Latch electronic entry door locks  - Wood-Style Flooring Throughout Community Amenities - Walking distance to two BART stations  - Near Patricia's Green in Hayes Valley  - Next to numerous MUNI street and underground transit stations  - Close to Safeway and Whole Foods grocery stores  - Fitness Room  - Panoramic Roof-Top Deck with Outdoor Kitchen  - EV Charging Stations  - Lobby attendant  - Outdoor Fireplace  - Close by numerous restaurants such as Zuni Café, Rich Table, Rocket Sushi, a Mano, Biergarten, Locanda, Gracias Madre, Pizzeria Delfina, Salt and Straw, RT Rotisserie, The Grove  - Easy, nearby freeway access  - Underground Parking  - DIY Bike Repair & Secured Storage Room  - On-site EV Car Share  - Dog Run & Pet Spa Pet Policy Cats and Dogs welcomeLimit 2 pets per unit$75.00 pet rent per pet monthly$500 deposit per pet due at time of move inStandard Breed Restrictions apply Office Hours Monday-Friday:9:00AM-6:00PMThe Rise Hayes Valley  1699 Market Street, San Francisco, CA, 94103Equal Housing Opportunity This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy. 03fLlGKRvr ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-views-and-10-weeks/7331982726.html
4,2021-06-04 18:53:00,Lower Pac Hts,3795,1,1.0,915.0,apartment,w/d in unit,attached garage,no,no,no,REMODELED and HUGE In-Unit WASHER/DRYER Bay Views!,"Completely REMODELED and HUGE (approx. 915 sq. ft.) one bedroom in the heart of Pacific Heights with gorgeous BAY VIEWS and Pacific Heights/Russian Hill VIEWS!! This large one bedroom features a fully loaded kitchen including: maple-wood cabinetry, all full size STAINLESS appliances) refrigerator, range, stove, microwave, garbage disposal and DISHWASHER! In addition, this unit features a separate dinette area, huge rounded bay windows in the living room and kitchen and a very large bedroom! Also, this unit has large closets (walk-in closet in the bedroom) and a white-tiled bathroom. What is so unique about this unit are the GORGEOUS Bay and Pacific Heights views. This unit is very quiet and private.This unit also has IN-UNIT WASHER/DRYER!!To view this unit please contact the on-site manager Egan at  show contact infoPlease visit our website at www.copelandparkproperties.comNo pets please.Located in Prime Pacific Heights, 1770 Broadway is a one of a kind, stately 1920's building. Boasting a large marble entrance, 1770 Broadway is located between Gough and Franklin Street. 1770 Broadway is within walking distance of many of San Francisco's finest restaurants, coffee shops, and public transportation accessing the entire Bay Area (available on Van Ness...one block to the east.Amenities Include:-On Site Manager-Elevator service-Central Laundry Facility-Card Key Access-Exterior and interior finishes which define 'old world charm'Included In Rent: Water, Heat and GarbageThis unit is dedicated as non-smokingParking Available for $250.00Pictures below of the living room, kitchen, VIEWS from North to South, bedroom, front of the building, lobby of building1770 Broadway received a 97% on walking score! Please visit http://www.walkscore.com/score/1770-Broadway-Street-San-Francisco    ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-and-huge-in/7325858694.html
5,2021-06-04 18:46:00,Ingleside / SFSU / CCSF,2000,1,1.0,,apartment,no laundry on site,street parking,no,no,no,Beautiful 1 bd. apt. MT Davidson Manor,"Beautiful 1 bd. apt. in law. Private entrance. Open kitchen. Full bath. New paint.Great location: few blocks from City College, 1/2 block from the K-muni line. Downtown in 20 minutes, to West Portal in 5 minutes and 12 min. walking distance to BART Station (Balboa Park) , SFSU and Stonestown Gallery. Easy access to 280 and 101 freeways. Street parking ample.Restaurants in walking distance. Also, right around the corner is 24 hour fitness and Target, 2 blocks away from Walgreens, Whole Foods Market, Yogurtland, a good bakery, coffee shop, post office, stores.Beautiful separate backyard, quiet and safe area and not as foggy as Sunset.Payment for utilities will be shared.Available to move in 07/01/2021. 1 Year Lease. Credit report required. Move in cost 1st month rent + $2000 deposit. No smoking. No pet. Excellent for 1-2 people. Not furnished.Email with times you can come look at the place.    ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-bd-apt-mt/7331980750.html
6,2021-06-04 18:45:00,Noe Valley,3350,2,1.0,,flat,laundry in bldg,no parking,no,no,no,Noe Valley Edwardian Flat 2 Bedrooms/one bath,"Remodel Kitchen Nice hard wood floors throughout the unitGas stove, dishwasher, french  door refrigeratorWasher/dryer in storage room 1. Completed rental application. 2. Full credit reports3. 4 most recent pay check stubs4. Rental Insurance is required no smokers, no pets and no liquid filled furniture.Flat is available to show by appointment.  Please wear mask and social distancing.    ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-noe-valley-edwardian-flat/7331980423.html
7,2021-06-04 18:45:00,San Francisco,2000,1,1.0,650.0,apartment,w/d in unit,attached garage,yes,yes,yes,"Cute, cute, cute 1906 Sunnyside Cottage","Cute, cute, cute 1906 Sunnyside Cottage. Efficient spacing. Enter into a large Foyer with immediate adjoining Living Room, Bedroom and remodeled Kitchen. Off the Kitchen is a remodeled Bathroom and Porch with potential multiple uses. immediately outside off the porch is a lovely deck with a bright overlook of the recently landscaped rear yard. Mature fruit trees offer fresh fruit. A rear yard artificial turf area accommodates children and/or canine family members. There is interior access from the main living floor to a pair of Bonus spaces: A large room with its own Bathroom may be used as a Den/Family Room or private Office. A smaller rear space toward the rear of this floor is staged as an office, but truthfully you have choices to make. Beyond that room is a basement Laundry Area, and that leads to the rear Yard. There is a one small car Parking Garage and a contiguous Potting Closet with it's own access to the rear yard. Did I say Cute, cute, cute emphatically enough?",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cute-cute-cute-1906/7331970913.html
8,2021-06-04 18:44:00,SOMA / South Beach,5380,2,2.0,934.0,apartment,w/d in unit,valet parking,yes,yes,no,Everything you’ve been dreaming of is here. Lease today!,"33 Tehama 33 Tehama, San Francisco, CA, 94105Use the link below for more details:http://cl.greystar.com/3vL090 Call Now:  show contact info x 73OR Text 73 to  show contact info to contact our team.All Of San Francisco. In One Address. This is a 2 Bedroom, 2 Bath, approximately 934 Sq. Ft.  33 Tehama is an iconic new residence in the heart of SoMa in San Francisco. With one-bedroom, two-bedroom, and penthouse apartments, it brings truly cosmopolitan living, sophisticated design, and unrivaled amenities to one of the most connected, walkable, and cultured locations in the city, and beyond. At this time our team is available to schedule a self-guided on-site tour after a personalized virtual tour has been taken. Please call us for more information!This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy. Features - Built-in roller shades  - Marble and exotic wood*  - Keyless entry  - Outdoor dining patio*  - Panoramic view terrace*  - Artistic bespoke lighting*  - Washer and dryer by Electrolux  - Air conditioning  - Smart home features  - Plush bedroom carpeting  - Integrated refrigerator by Blomberg  - Integrated dishwasher by Blomberg  - Floor-to-ceiling windows  - Faucets and fixtures by Hansgrohe  - Gas range by Fisher Paykel  - Expansive bay views*  - Hardwood plank flooring  - Quartz slab countertops  - Italian cabinetry in gloss white  - Intimate fireplace* Community Amenities - Private dining and media dens*  - No Smoking  - Open-air hot tub*  - Nordic-inspired sauna and steam rooms*  - Onsite concierge services  - The Hub – Amazon package locker system  - Skyline bocce court*  - Wellness lounge and terrace*  - Solarium with entertainment area*  - Resident library*  - Pet Spa  - Chef's kitchen and bar*  - Cozy fire pits*  - Tech café*  - Private grilling areas*  - Outdoor fitness area*  - Group fitness, yoga and spin studio*  - Club-level gym with on-demand workouts*  - Gigabit Ethernet and WiFi  - Hello Alfred services  - Valet parking *Available on some levels Office Hours Monday-Sunday:9:00AM-6:00PMEqual Housing Opportunity This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy. 9mylKH3Ss ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-everything-youve-been/7331967871.html
9,2021-06-04 18:44:00,San Francisco,2000,1,1.0,560.0,apartment,w/d in unit,attached garage,yes,yes,yes,"Views, space and luxe finishes in the heart of the City","Views, space and luxe finishes in the heart of the City. This stunning, one bedroom plus den home offers the urban dweller amazing access to some of the City's best amenities, outdoor restaurants, retail, bike paths and parks, all within walking distance. Designed by world-renowned architect Bernardo Fort-Brescia, Linea was created for those that appreciate modern design. Walls of glass showcase the amazing views from every window in both the bedroom and living room which provide phenomenal light throughout the day. With its southeast orientation and location in one of the sunniest parts of the City, the home is flooded with sunshine. Unit 512 offers a large bedroom with walk in closet, den and spacious bath. European cabinetry in the kitchen with polished quartz countertops and stone backsplash. Hardwood floors throughout the common areas and luxe carpeting in the bedroom. The condo also includes custom window treatments, built out closets and in unit washer & dryer.    ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-views-space-and-luxe/7331967471.html
10,2021-06-04 18:43:00,Ingleside / SFSU / CCSF,1800,2,1.0,,in-law,no laundry on site,street parking,no,no,no,"2 Bedroom, 1 Bath and a kitchen in-law unit","An in-law unit with 2 bedrooms, 1 bathroom and a small kitchen for rent. The bathroom is newly remodeled. Minimum of 2 people, and additional $150 per person (Example of rent: $2200 fro 2 people, $2350 for 3 people).  Suitable for students. The unit is near to: - MUNI stop: M line and 54 bus (1 min by walking), 29 bus (~ 12 min by walking) - CCSF (~10 min by 54 muni bus and then walking)  - SFSU (~12 min by M muni) - Pacific supermarket (~10 min by walking) - Freeway 280Lease Term: - Minimum least 1 year - No smoking - No pets If you're interested in renting this unit or have any question, please email me and introduce a bit about yourself, or call me.    ",https://sfbay.craigslist.org/sfc/apa/d/daly-city-bedroom-bath-and-kitchen-in/7325719225.html
