,datetimes,hoods,prices,bedrooms,bathrooms,sqft,housing_type,laundry,parking,cats,dogs,furnished,titles,descriptions,links
0,2021-05-30 14:02, (Dadeland 2/2),"$1,900",2BR,2Ba,none,apartment,w/d in unit,carport,none,none,none,●►  2/2 DADELAND: AMAZING UNIT Unique opportunity to lease this sp,"

QR Code Link to This Post


PROP # 07K80

DADELAND: 2/2

Unique opportunity to lease this spacious bright 2 bedroom 2 bath condo in Kings Creek With over 1100 square feet. This move-in ready condo features all new flooring, washer and dryer inside and 2 assigned parking spaces. Quiet Safe community with a community pool, clubhouse and tennis courts. Ideally situated minutes from Dadeland, US1, major expressways, restaurants and shopping. Plenty of guest parking available and easy to show by appointment.

Rent 1 Sale 1 Kendall
Bad credit, no credit, come in we'll help you.

***** Se habla español *****

Interested in a property:
Call/Text-  show contact info

786'+'7O8'+'2475
Call-  show contact info

3O5'+'982'+'8O15

**R1S1 -Kendall posts properties for a 30 day period of time. Due to current high rental demand, some properties advertised may be withdrawn, canceled, rented, pending or sold within the past 30 days. All information is deemed to be correct, but not guaranteed**

T a g s:
- Kendall
- Fontainebleau
- West Fontainebleau
- Dadeland    ",https://miami.craigslist.org/mdc/apa/d/2-dadeland-amazing-unit-unique/7329311389.html
1,2021-05-30 14:02, (Doral),"$2,557",2BR,2Ba,none,apartment,w/d in unit,attached garage,none,none,none,DEPÓSITO DE $ 500,"

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-depsito-de-500/7320180053.html
2,2021-05-30 14:02, (Miami),"$2,241",2BR,2Ba,1106,apartment,w/d in unit,off-street parking,yes,yes,none,2 Bed 2 Bathroom Apartment,"

QR Code Link to This Post


One, Two, and Three Bedroom Miami Apartments At Casa Vera, you can make your Miami dreams a reality. Our one, two, and three bedroom luxury apartments in Kendall, Florida, offers easy access to both downtown Miami and Everglades National Park, as well as numerous excellent dining, shopping, and recreation options. With unmatched outdoor amenities paired with incredible apartment interiors, our community simply cannot be beat.Discover the very best of Miami living at Casa Vera  Call Now:  show contact info
Follow The Link Below:http://cl.greystar.com/535ue0 This is a 2 Bedroom, 2 Bath, approximately 1106 Sq. Ft. Features - One, Two, and Three Bedroom Layouts  - Walk-In Closets  - Stainless-Steel Appliances  - Dishwasher  - In-Home Washer and Dryer  - Private Balcony  - Air Conditioning Community Amenities - WiFi Available  - Outdoor Entertainment Area with Chaise Lounge Chairs  - Resort-Style Swimming Pool  - Outdoor Cabana Kitchen  - On-Site Dog Park  - Coffee Bar  - Business Center  - State-of-the-Art Fitness Center  - Sundecks  - Resident Clubhouse Office Hours Mon-Fri: 9:00am-6:00pmSat: 10:00am-5:00pmSun: 12:00pm-5:00pm Casa Vera 8881 SW 172nd Ave, Miami, FL, 33196Equal Housing Opportunity H2wd9AHIUz ",https://miami.craigslist.org/mdc/apa/d/miami-bed-bathroom-apartment/7329303614.html
3,2021-05-30 14:02, (Doral),"$3,399",3BR,2Ba,none,apartment,w/d in unit,attached garage,none,none,none,"$500 deposit one,two,and three bedroom 24 hour approval","

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-500-deposit-onetwoand-three/7320180994.html
4,2021-05-30 14:01, (doral),"$1,978",1BR,1Ba,none,apartment,w/d in unit,attached garage,none,none,none,un mes GRATIS,"

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-un-mes-gratis/7320215154.html
5,2021-05-30 14:01, (Doral),"$2,257",2BR,2Ba,none,apartment,w/d in unit,street parking,none,none,none,Depósito de $ 500,"

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11
",https://miami.craigslist.org/mdc/apa/d/miami-depsito-de-500/7319571762.html
6,2021-05-30 14:01, (Doral),"$1,978",1BR,1Ba,none,apartment,w/d in unit,attached garage,none,none,none,"mudanza rápida en 1, 2 y 3 habitaciones","

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-mudanza-rpida-en-2-3-habitaciones/7319540780.html
7,2021-05-30 14:01, (Doral),"$2,557",2BR,2Ba,none,apartment,w/d in unit,attached garage,none,none,none,Apartamentos nuevos extranjeros bienvenidos,"

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-apartamentos-nuevos-extranjeros/7319537015.html
8,2021-05-30 14:01, (Doral),"$2,257",2BR,2Ba,none,apartment,w/d in unit,attached garage,none,none,none,UN MES GRATIS,"

QR Code Link to This Post


*** UNFURNISHED ONE,TWO,AND THREE BEDROOM ***

*** APPROVAL AND DEPOSIT SUBJECT TO CREDIT, INCOME AND BACKGROUND.***

*** PRICING AND AVAILABILITY SUBJECT TO CHANGE ***

BRAND NEW APARTMENT HOMES LOCATED IN THE HEART OF DORAL
Minutes away from Miami International Airport, Dolphin mall, and Doral cityplace. Experience brand new building, luxury, contemporary living, with open floor plans, balconies, pets friendly, laundry in the unit.



ONE MONTH FREE
$500 SECURITY DEPOSIT WITH APPROVED CREDIT
QUICK APPROVAL
VERY FAST MOVE IN
**ONE BEDROOM STARTING AT $1978
**TWO BEDROOM STARTING AT $2557
**THREE BEDROOM STARTING AT $3399

BRAND NEW MODERN LUXURY BUILDING
WORLD CLASS AMENITIES
PET FRIENDLY
LAUNDRY IN UNIT


NO BROKER FEE
NO REALTORS COMMISSION
MY SERVICE IS ABSOLUTELY FREE TO PROSPECTIVE TENANTS



*** UNO, DOS Y TRES HABITACIONES SIN AMUEBLAR ***

*** APROBACIÓN Y DEPÓSITO SUJETO A CRÉDITO, INGRESOS Y ANTECEDENTES. ***

*** PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS ***

APARTAMENTOS A ESTRENAR SITUADOS EN EL CORAZÓN DE DORAL
A minutos del aeropuerto internacional de Miami, del centro comercial Dolphin y de Doral Cityplace. Experimente un edificio nuevo, lujo, estilo de vida contemporáneo, con planos de planta abiertos, balcones, se admiten mascotas, lavandería en el apartamento.



UN MES GRATIS
DEPÓSITO DE SEGURIDAD DE $ 500 CON CRÉDITO APROBADO
APROBACIÓN RÁPIDA
MUY RÁPIDO MUDANZA
** UNA HABITACIÓN DESDE $ 1978
** DOS HABITACIONES DESDE $ 2557
** TRES HABITACIONES DESDE $ 3399

EDIFICIO DE LUJO MODERNO A ESTRENAR
AMENIDADES DE CLASE MUNDIAL
MASCOTA AMIGABLE
LAVANDERÍA EN UNIDAD



SIN CARGO DE CORREDOR
SIN COMISIÓN DE REALTORS
MI SERVICIO ES ABSOLUTAMENTE GRATUITO PARA LOS PROSPECTIVOS INQUILINOS


LLAMADA / TEXTO:
show contact info

VANESSA LUNA
CIOCCA REALTY

REF: A11    ",https://miami.craigslist.org/mdc/apa/d/miami-un-mes-gratis/7320216745.html
9,2021-05-30 14:01, (North Miami Beach),"$1,350",1BR,1Ba,600,apartment,laundry on site,valet parking,none,none,none,Newly Renovated 1 Bedroom / 1 Bath,"

QR Code Link to This Post


Newly renovated large bedroom freshly painted with a brand new AC system, recess lighting & vinyl flooring. Top notch kitchen area offers a beautiful stainless steel package to include fridge, stove & microwave. The new Panda kitchen cabinets come alongside matching granite countertops & a gorgeous backsplash. This very unique quiet hidden oasis comes with  lights, water, washer & dryer on premises, private entrance, private parking, wifi cable & internet all INCLUDED in the rent! This is the perfect place for a single individual seeking complete peace & privacy. Come make it your own! This unit will not last call/text to schedule viewing: Sherley  show contact info


Rental Requirements are as follows:

$100 Application Fee
Color copy of Drivers License
Last 3 months of Verifiable Income
",https://miami.craigslist.org/mdc/apa/d/miami-newly-renovated-bedroom-bath/7329315631.html
